row_id,issue
359,Missing booking_url
359,last_review_date missing/unparseable
360,Missing booking_url
360,last_review_date missing/unparseable
360,Duplicate domain
361,Missing booking_url
361,last_review_date missing/unparseable
362,Missing booking_url
362,last_review_date missing/unparseable
362,Duplicate email
362,Duplicate domain
362,Duplicate phone
363,Missing booking_url
363,last_review_date missing/unparseable
364,Missing booking_url
364,last_review_date missing/unparseable
365,Missing booking_url
365,last_review_date missing/unparseable
366,Missing booking_url
366,last_review_date missing/unparseable
367,Missing booking_url
367,last_review_date missing/unparseable
368,Missing booking_url
368,last_review_date missing/unparseable
368,Duplicate email
368,Duplicate domain
368,Duplicate phone
369,Missing booking_url
369,last_review_date missing/unparseable
370,Missing booking_url
370,last_review_date missing/unparseable
371,Missing booking_url
371,last_review_date missing/unparseable
371,Duplicate email
371,Duplicate domain
372,Missing booking_url
372,last_review_date missing/unparseable
372,Duplicate phone
373,Missing booking_url
373,last_review_date missing/unparseable
374,Missing booking_url
374,last_review_date missing/unparseable
374,Duplicate email
375,Missing booking_url
375,last_review_date missing/unparseable
376,Missing booking_url
376,last_review_date missing/unparseable
377,Missing booking_url
377,last_review_date missing/unparseable
378,Missing booking_url
378,last_review_date missing/unparseable
379,Missing booking_url
379,last_review_date missing/unparseable
379,Duplicate email
380,Missing booking_url
380,last_review_date missing/unparseable
381,Missing booking_url
381,last_review_date missing/unparseable
382,Missing booking_url
382,last_review_date missing/unparseable
383,Missing booking_url
383,last_review_date missing/unparseable
384,Missing booking_url
384,last_review_date missing/unparseable
385,Missing booking_url
385,last_review_date missing/unparseable
386,Missing booking_url
386,last_review_date missing/unparseable
387,Missing booking_url
387,last_review_date missing/unparseable
388,Missing booking_url
388,last_review_date missing/unparseable
389,Missing booking_url
389,last_review_date missing/unparseable
390,Missing booking_url
390,last_review_date missing/unparseable
391,Missing booking_url
391,last_review_date missing/unparseable
392,Missing booking_url
392,last_review_date missing/unparseable
393,Missing booking_url
393,last_review_date missing/unparseable
394,Missing booking_url
394,last_review_date missing/unparseable
395,Missing booking_url
395,last_review_date missing/unparseable
396,Missing booking_url
396,last_review_date missing/unparseable
397,Missing booking_url
397,last_review_date missing/unparseable
398,Missing booking_url
398,last_review_date missing/unparseable
399,Missing booking_url
399,last_review_date missing/unparseable
400,Missing booking_url
400,last_review_date missing/unparseable
401,Missing booking_url
401,last_review_date missing/unparseable
402,Missing booking_url
402,last_review_date missing/unparseable
402,Duplicate email
402,Duplicate domain
403,Missing booking_url
403,last_review_date missing/unparseable
404,Missing booking_url
404,last_review_date missing/unparseable
405,Website missing
405,Missing booking_url
405,last_review_date missing/unparseable
406,Missing booking_url
406,last_review_date missing/unparseable
407,Missing booking_url
407,last_review_date missing/unparseable
408,Missing booking_url
408,last_review_date missing/unparseable
409,Missing booking_url
409,last_review_date missing/unparseable
410,Missing booking_url
410,last_review_date missing/unparseable
411,Missing booking_url
411,last_review_date missing/unparseable
412,Missing booking_url
412,last_review_date missing/unparseable
413,Missing booking_url
413,last_review_date missing/unparseable
414,Missing booking_url
414,last_review_date missing/unparseable
415,Missing booking_url
415,last_review_date missing/unparseable
415,Duplicate email
416,Missing booking_url
416,last_review_date missing/unparseable
417,Missing booking_url
417,last_review_date missing/unparseable
418,Missing booking_url
418,last_review_date missing/unparseable
419,Missing booking_url
419,last_review_date missing/unparseable
420,Missing booking_url
420,last_review_date missing/unparseable
421,Missing booking_url
421,last_review_date missing/unparseable
421,Duplicate email
422,Missing booking_url
422,last_review_date missing/unparseable
422,Duplicate domain
423,Missing booking_url
423,last_review_date missing/unparseable
424,Missing booking_url
424,last_review_date missing/unparseable
425,Missing booking_url
425,last_review_date missing/unparseable
426,Missing booking_url
426,last_review_date missing/unparseable
427,Website missing
427,Missing booking_url
427,last_review_date missing/unparseable
428,Missing booking_url
428,last_review_date missing/unparseable
429,Missing booking_url
429,last_review_date missing/unparseable
430,Missing booking_url
430,last_review_date missing/unparseable
431,Missing booking_url
431,last_review_date missing/unparseable
432,Missing booking_url
432,last_review_date missing/unparseable
433,Missing booking_url
433,last_review_date missing/unparseable
434,Missing booking_url
434,last_review_date missing/unparseable
435,Missing booking_url
435,last_review_date missing/unparseable
436,Missing booking_url
436,last_review_date missing/unparseable
437,Missing booking_url
437,last_review_date missing/unparseable
438,Missing booking_url
438,last_review_date missing/unparseable
439,Missing booking_url
439,last_review_date missing/unparseable
440,Missing booking_url
440,last_review_date missing/unparseable
440,Duplicate email
441,Missing booking_url
441,last_review_date missing/unparseable
442,Missing booking_url
442,last_review_date missing/unparseable
443,Missing booking_url
443,last_review_date missing/unparseable
443,Duplicate email
444,Missing booking_url
444,last_review_date missing/unparseable
445,Missing booking_url
445,last_review_date missing/unparseable
446,Missing booking_url
446,last_review_date missing/unparseable
447,Missing booking_url
447,last_review_date missing/unparseable
448,Missing booking_url
448,last_review_date missing/unparseable
449,Missing booking_url
449,last_review_date missing/unparseable
450,Missing booking_url
450,last_review_date missing/unparseable
451,Missing booking_url
451,last_review_date missing/unparseable
452,Website missing
452,Missing booking_url
452,last_review_date missing/unparseable
453,Missing booking_url
453,last_review_date missing/unparseable
454,Missing booking_url
454,last_review_date missing/unparseable
455,Missing booking_url
455,last_review_date missing/unparseable
456,Missing booking_url
456,last_review_date missing/unparseable
457,Missing booking_url
457,last_review_date missing/unparseable
458,Missing booking_url
458,last_review_date missing/unparseable
459,Missing booking_url
459,last_review_date missing/unparseable
460,Missing booking_url
460,last_review_date missing/unparseable
460,Duplicate email
461,Missing booking_url
461,last_review_date missing/unparseable
461,Duplicate email
461,Duplicate phone
462,Missing booking_url
462,last_review_date missing/unparseable
463,Missing booking_url
463,last_review_date missing/unparseable
464,Missing booking_url
464,last_review_date missing/unparseable
465,Missing booking_url
465,last_review_date missing/unparseable
466,Missing booking_url
466,last_review_date missing/unparseable
467,Missing booking_url
467,last_review_date missing/unparseable
467,Duplicate domain
468,Missing booking_url
468,last_review_date missing/unparseable
469,Missing booking_url
469,last_review_date missing/unparseable
469,Duplicate email
470,Missing booking_url
470,last_review_date missing/unparseable
471,Missing booking_url
471,last_review_date missing/unparseable
472,Website missing
472,Missing booking_url
472,last_review_date missing/unparseable
473,Missing booking_url
473,last_review_date missing/unparseable
474,Missing booking_url
474,last_review_date missing/unparseable
475,Missing booking_url
475,last_review_date missing/unparseable
476,Missing booking_url
476,last_review_date missing/unparseable
476,Duplicate email
477,Missing booking_url
477,last_review_date missing/unparseable
478,Missing booking_url
478,last_review_date missing/unparseable
479,Missing booking_url
479,last_review_date missing/unparseable
480,Missing booking_url
480,last_review_date missing/unparseable
481,Missing booking_url
481,last_review_date missing/unparseable
481,Duplicate email
481,Duplicate domain
482,Missing booking_url
482,last_review_date missing/unparseable
483,Missing booking_url
483,last_review_date missing/unparseable
484,Missing booking_url
484,last_review_date missing/unparseable
485,Missing booking_url
485,last_review_date missing/unparseable
485,Duplicate email
485,Duplicate domain
486,Missing booking_url
486,last_review_date missing/unparseable
487,Missing booking_url
487,last_review_date missing/unparseable
488,Missing booking_url
488,last_review_date missing/unparseable
489,Website missing
489,Missing booking_url
489,last_review_date missing/unparseable
490,Missing booking_url
490,last_review_date missing/unparseable
491,Missing booking_url
491,last_review_date missing/unparseable
492,Missing booking_url
492,last_review_date missing/unparseable
493,Missing booking_url
493,last_review_date missing/unparseable
494,Missing booking_url
494,last_review_date missing/unparseable
